STT,Tên máy client,Tên máy chủ,Địa chỉ IP,Vùng mạng,HIỆN TRẠNG ĐÁNH GIÁ VA,HIỆN TRẠNG RÀ QUÉT CA,OS,Người thực hiện,Kết quả,Note
32,PC-KT-010,,10.30.10.110,LAN Kế toán,Hoàn thành,Hoàn thành,Windows 10 Pro,DucNV,Cần xác minh,AnyDesk portable chạy ngoài giờ; chưa xác định chủ sở hữu phiên hỗ trợ
33,PC-NS-011,,10.30.11.111,LAN Nhân sự,Hoàn thành,Hoàn thành,Windows 11 Pro,DucNV,Không phát hiện,Microsoft Defender alert được xác nhận false positive đối với script ký số nội bộ
34,PC-GD-012,,10.30.12.112,LAN Ban GĐ,Hoàn thành,Hoàn thành,Windows 11 Pro,DucNV,Ghi nhận dấu hiệu bất thường,USB autorun tạo shortcut giả và thực thi wscript.exe từ thiết bị ngoài
35,PC-KD-013,,10.30.14.113,LAN Kinh doanh,Hoàn thành,Hoàn thành,Windows 10 Pro,DucNV,Ghi nhận dấu hiệu bất thường,WINWORD.EXE tạo cmd.exe sau khi mở quotation.docm; macro chưa được phê duyệt
36,PC-HC-014,,10.30.15.114,LAN Hành chính,Hoàn thành,Hoàn thành,Windows 11 Pro,DucNV,Ghi nhận dấu hiệu bất thường,PowerShell -enc tải payload từ hxxps://cdn-update.example.org/a.dat
37,PC-IT-015,,10.30.13.115,LAN CNTT,Hoàn thành,Hoàn thành,Windows 11 Enterprise,DucNV,Ghi nhận dấu hiệu bất thường,Truy cập LSASS bất thường bởi rundll32.exe; memory acquisition MEM-015
38,PC-KT-016,,10.30.10.116,LAN Kế toán,Hoàn thành,Hoàn thành,Windows 10 Pro,DucNV,Cần xác minh,Scheduled task OneDriveUpdate chạy binary trong AppData\Roaming
39,PC-LEGAL-017,,10.30.18.117,LAN Pháp chế,Hoàn thành,Hoàn thành,Windows 11 Pro,DucNV,Cần xác minh,"Tor Browser phát hiện trong profile người dùng, chưa có phê duyệt nghiệp vụ"
40,PC-RD-018,,10.30.19.118,LAN R&D,Hoàn thành,Hoàn thành,Ubuntu 24.04 LTS,DucNV,Cần xác minh,Proxifier cấu hình chuyển lưu lượng qua 192.0.2.44:1080; cần xác minh lab
41,MAC-DESIGN-019,,10.30.20.119,LAN Thiết kế,Hoàn thành,Hoàn thành,macOS Ventura,DucNV,Không phát hiện,"XProtect, Gatekeeper và persistence locations không ghi nhận bất thường"
42,PC-WH-020,,10.30.21.120,LAN Kho vận,Hoàn thành,Hoàn thành,Windows 10 IoT,DucNV,Không phát hiện,Quét hoàn tất; ứng dụng scanner và driver đúng baseline
43,PC-CS-021,,10.30.22.121,LAN Chăm sóc KH,Hoàn thành,Hoàn thành,Windows 11 Pro,DucNV,Không phát hiện,"Không phát hiện dấu hiệu bất thường trong process, network và autoruns"
44,PC-FIN-022,,10.30.23.122,LAN Tài chính,Hoàn thành,Hoàn thành,Windows 11 Pro,DucNV,Không phát hiện,EDR scan sạch; không có IOC trùng khớp threat-intel nội bộ
45,PC-QA-023,,10.30.24.123,LAN QA,Hoàn thành,Hoàn thành,Windows 11 Enterprise,DucNV,Không phát hiện,Công cụ kiểm thử Burp Suite thuộc allowlist của QA Security
46,PC-OPS-024,,10.30.25.124,LAN Vận hành,Hoàn thành,Chờ quét bổ sung,Windows 10 Pro,DucNV,Chưa kết luận,"Máy tắt trong thời gian rà quét CA; VA hoàn thành, cần quét bổ sung"
47,PC-SALES-025,,10.30.26.125,LAN Sales,Hoàn thành,Hoàn thành,Windows 11 Pro,DucNV,Không phát hiện,"Kiểm tra email, browser downloads và persistence không có bất thường"
48,PC-TRAIN-026,,10.30.27.126,LAN Đào tạo,Hoàn thành,Hoàn thành,Windows 11 Pro,DucNV,Không phát hiện,EICAR test file được phát hiện và xóa đúng kỳ vọng; không phải sự cố thực
49,PC-LAB-027,,10.30.28.127,Security Lab,Hoàn thành,Hoàn thành,Kali Linux 2026.1,DucNV,Không phát hiện - Đã kiểm tra,"Nmap, Metasploit và proxy tool thuộc phạm vi lab được phê duyệt"
50,PC-RECEPT-028,,10.30.29.128,Guest Operations,Hoàn thành,Hoàn thành,Windows 11 Pro,DucNV,Không phát hiện,Quét hoàn tất; chỉ có ứng dụng kiosk đã ký số và cấu hình hạn chế
